FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
150,01-06-2022,Falcon 9,13260,VLEO,Kwajalein Atoll,True ASDS,13,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,12,B1060,167.7431292,9.0477206
151,18-06-2022,Falcon 9,2200,SSO,Kwajalein Atoll,True RTLS,3,TRUE,TRUE,TRUE,5e9e3032383ecb554034e7c9,5,3,B1071,167.7431292,9.0477206
152,19-06-2022,Falcon 9,700,LEO,Kwajalein Atoll,True ASDS,9,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1061,167.7431292,9.0477206
153,29-06-2022,Falcon 9,3500,MEO,CCSFS SLC 40,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,2,B1073,-80.577366,28.5618571
154,07-07-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,13,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.577366,28.5618571
155,11-07-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,6,B1063,-80.577366,28.5618571
156,15-07-2022,Falcon 9,8191,ISS,VAFB SLC 4E,True ASDS,5,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,5,B1067,-120.610829,34.632093
157,17-07-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,13,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.577366,28.5618571
158,21-07-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1071,-80.577366,28.5618571
159,24-07-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,8,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,8,B1062,-80.577366,28.5618571
160,04-08-2022,Falcon 9,678,TLI,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,6,B1052,-80.577366,28.5618571
161,09-08-2022,Falcon 9,13260,VLEO,Kwajalein Atoll,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,2,B1073,167.7431292,9.0477206
162,12-08-2022,Falcon 9,13260,VLEO,Kwajalein Atoll,True ASDS,10,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1061,167.7431292,9.0477206
163,19-08-2022,Falcon 9,13260,VLEO,Kwajalein Atoll,True ASDS,9,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,8,B1062,167.7431292,9.0477206
164,28-08-2022,Falcon 9,13260,VLEO,Kwajalein Atoll,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,1,B1069,167.7431292,9.0477206
165,31-08-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,7,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,6,B1063,-80.577366,28.5618571
166,17-09-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,5,B1067,-80.577366,28.5618571
167,24-09-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,0,B1072,-80.577366,28.5618571
168,05-10-2022,Falcon 9,8191,ISS,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,0,B1077,-120.610829,34.632093
